metric,value
label,tmp
folder,/tmp
rho,1.0
crg_admittance_scale,1.0
crg_arm_ma_translation_kg,5.0
crg_arm_da_translation_n_s_per_m,63.25
crg_arm_ka_translation_n_per_m,200.0
crg_admittance_translation_limit_enabled,1.0
crg_admittance_translation_limit_m,0.05
crg_admittance_translation_limit_effective_m,0.05
crg_arm_force_at_translation_limit_n,10.0
run_status,unknown
applied_to_crg_causal_delay_s,0.0019999999999997797
force_window_start_s,10.0
force_window_end_s,20.0
nonzero_wrench_start_s,10.002
nonzero_wrench_end_s,19.998
applied_samples,13177
nonzero_applied_samples,4999
left_force_peak_N,12.0
right_force_peak_N,12.0
left_torque_peak_Nm,0.1547102599498818
right_torque_peak_Nm,0.19091398604869156
torso_samples,13177
causal_analysis_torso_samples,4999
nonzero_causal_torso_samples,4999
torso_median_dt_s,0.0019999999999997797
torso_max_dt_jitter_s,2.6645352591003757e-15
qp_success_percent,100.0
torso_roll_peak_deg,1.3607747634357052
torso_pitch_peak_deg,0.17455961369573714
torso_yaw_peak_deg,7.476984634898217
post_force_final_1s_torso_reference_rms_deg,7.650092783842501e-13
left_admittance_target_peak_mm,50.0
left_admittance_target_max_abs_component_mm,50.0
left_admittance_raw_max_abs_component_mm,50.0
left_admittance_limit_utilization_percent,100.0
left_admittance_near_limit_samples_percent,80.53610722144428
left_arm_residual_peak_mm,40.48492571172757
left_arm_residual_rms_mm,37.90649568693823
post_force_final_1s_left_arm_residual_rms_mm,2.43058172617501e-12
left_allocation_reconstruction_rmse_mm,0.00010187559625482035
left_allocation_reconstruction_max_mm,0.0002960713285919475
right_admittance_target_peak_mm,50.0
right_admittance_target_max_abs_component_mm,50.0
right_admittance_raw_max_abs_component_mm,50.0
right_admittance_limit_utilization_percent,100.0
right_admittance_near_limit_samples_percent,80.53610722144428
right_arm_residual_peak_mm,32.3235828216799
right_arm_residual_rms_mm,30.290682778325873
post_force_final_1s_right_arm_residual_rms_mm,2.421256284925749e-12
right_allocation_reconstruction_rmse_mm,9.002319670498425e-05
right_allocation_reconstruction_max_mm,0.00022916684146090315
Ab_valid_percent,100.0
applied_to_crg_force_rmse_N,1.2590504437681052e-14
applied_to_crg_force_max_N,6.029155041345696e-14
applied_to_crg_torque_rmse_Nm,1.7528260899888525e-16
applied_to_crg_torque_max_Nm,9.136510401724448e-16
wbc_torso_rotvec_x_rmse_deg,0.003800784945036859
wbc_torso_rotvec_y_rmse_deg,0.0036893890351765595
wbc_torso_rotvec_z_rmse_deg,0.006958526259333676
wbc_torso_3d_rmse_deg,0.008745206993155532
wbc_torso_3d_max_error_deg,0.03105847085909838
crg_to_wbc_torso_reference_rmse_deg,0.0
crg_to_wbc_torso_reference_max_deg,0.0
wbc_left_hand_active_task_samples,4999
wbc_left_hand_x_acc_rmse_mps2,0.1773076976367616
wbc_left_hand_y_acc_rmse_mps2,0.062462475780264703
wbc_left_hand_z_acc_rmse_mps2,0.09661036617962963
wbc_left_hand_3d_acc_reference_rms_mps2,0.2551438531362806
wbc_left_hand_3d_acc_rmse_mps2,0.21136022183753395
wbc_left_hand_3d_acc_nrmse_percent,82.83962918935758
wbc_left_hand_3d_acc_max_error_mps2,0.2810187965797662
wbc_right_hand_active_task_samples,4999
wbc_right_hand_x_acc_rmse_mps2,0.11825204010264798
wbc_right_hand_y_acc_rmse_mps2,0.05486385014078017
wbc_right_hand_z_acc_rmse_mps2,0.05917650618085368
wbc_right_hand_3d_acc_reference_rms_mps2,0.13660639267239136
wbc_right_hand_3d_acc_rmse_mps2,0.1431623062278646
wbc_right_hand_3d_acc_nrmse_percent,104.79912647367506
wbc_right_hand_3d_acc_max_error_mps2,0.1922968418115516
